user_id,visits,purchased
552,3,0
553,3,0
554,0,0
555,3,0
556,4,0
557,3,0
558,2,1
559,2,1
560,4,0
561,5,1
562,4,0
563,3,1
564,7,1
565,4,1
566,2,1
567,1,0
568,3,1
569,4,0
570,0,0
571,1,0
572,0,0
573,6,1
574,5,0
575,2,0
576,2,0
577,2,1
578,1,0
579,1,1
580,2,0
581,5,1
582,5,1
583,1,0
584,3,1
585,3,1
586,1,1
587,3,1
588,3,1
589,1,0
590,5,0
591,3,1
592,2,1
593,3,0
594,3,0
595,0,0
596,0,0
597,2,0
598,2,1
599,2,0
600,3,0
601,2,0
602,6,1
603,5,1
604,2,1
605,1,1
606,2,0
607,3,1
608,1,0
609,6,0
610,6,1
611,3,0
612,0,1
613,5,0
614,4,1
615,4,0
616,4,1
617,5,1
618,1,0
619,1,0
620,3,0
621,1,0
622,4,1
623,3,0
624,5,0
625,1,0
626,4,0
627,6,1
628,1,0
629,2,1
630,2,0
631,4,1
632,7,1
633,4,1
634,3,0
635,2,0
636,3,0
637,4,0
638,1,0
639,2,0
640,5,1
641,0,0
642,3,0
643,7,1
644,1,0
645,2,0
646,0,0
647,2,0
648,5,0
649,2,1
650,5,1
651,1,0
652,2,0
653,6,0
654,7,1
655,4,1
656,2,0
657,5,1
658,2,1
659,7,1
660,8,1
661,2,0
662,3,0
663,3,1
664,4,0
665,5,1
666,3,0
667,3,1
668,4,1
669,5,0
670,4,1
671,5,0
672,3,0
673,2,0
674,2,0
675,4,1
676,3,0
677,2,0
678,3,0
679,2,0
680,2,0
681,3,0
682,2,1
683,1,1
684,3,0
685,8,1
686,1,0
687,5,0
688,2,0
689,4,1
690,1,0
691,2,1
692,5,1
693,2,0
694,8,1
695,1,0
696,1,1
697,2,0
698,1,0
699,2,0
700,0,0
701,3,0
702,3,1
703,6,0
704,2,0
705,5,1
706,0,0
707,3,0
708,2,0
709,1,0
710,4,1
711,6,1
712,2,0
713,2,1
714,2,0
715,2,0
716,1,1
717,2,0
718,1,0
719,1,0
720,3,1
721,0,0
722,2,0
723,5,1
724,4,1
725,4,1
726,3,1
727,3,0
728,2,0
729,1,1
730,2,0
731,2,0
732,5,1
733,4,1
734,1,1
735,1,0
736,3,0
737,2,1
738,5,0
739,3,1
740,0,0
741,4,1
742,3,1
743,2,0
744,2,0
745,8,1
746,2,0
747,1,0
748,3,0
749,4,1
750,3,1
751,4,0
752,3,0
753,5,1
754,3,0
755,3,0
756,2,0
757,4,0
758,1,0
759,4,1
760,2,1
761,8,1
762,3,1
763,3,0
764,2,0
765,3,1
766,2,0
767,2,0
768,8,1
769,1,0
770,4,1
771,8,1
772,1,0
773,1,0
774,6,1
775,3,0
776,4,1
777,2,0
778,1,0
779,3,0
780,2,0
781,4,1
782,0,0
783,3,0
784,3,1
785,3,1
786,4,1
787,2,1
788,2,1
789,2,0
790,5,0
791,1,0
792,1,0
793,5,1
794,2,0
795,4,1
796,1,1
797,3,0
798,1,0
799,5,1
800,7,1
801,0,0
802,1,0
803,1,0
804,3,0
805,2,0
806,2,0
807,4,0
808,3,1
809,1,0
810,2,0
811,2,0
812,5,1
813,2,0
814,5,1
815,1,0
816,2,1
817,1,0
818,2,0
819,2,0
820,3,0
821,7,1
822,1,0
823,1,0
824,1,0
825,3,1
826,1,0
827,4,1
828,4,1
829,5,1
830,1,0
831,1,0
832,5,0
833,2,0
834,1,0
835,6,1
836,3,1
837,0,0
838,2,1
839,4,1
840,2,0
841,5,1
842,0,0
843,1,1
844,3,0
845,4,1
846,3,0
847,3,0
848,1,0
849,3,0
850,0,0
851,7,1
852,4,0
853,3,0
854,3,1
855,2,1
856,6,1
857,2,0
858,2,1
859,2,0
860,1,0
861,5,1
862,1,0
863,7,1
864,3,1
865,2,0
866,0,0
867,5,1
868,3,0
869,0,0
870,4,1
871,3,0
872,4,0
873,4,1
874,6,1
875,7,1
876,3,1
877,4,1
878,5,1
879,6,1
880,7,1
881,4,1
882,3,0
883,3,0
884,0,0
885,3,1
886,2,0
887,4,0
888,4,0
889,5,1
890,6,1
891,6,1
892,2,1
893,2,0
894,4,1
895,7,1
896,4,1
897,1,0
898,6,1
899,3,0
900,1,0
901,1,1
902,5,0
903,2,0
904,5,1
905,4,1
906,3,1
907,1,0
908,4,1
909,0,0
910,2,0
911,3,1
912,3,0
913,2,0
914,3,0
915,4,1
916,2,1
917,3,0
918,4,0
919,2,1
920,3,1
921,1,1
922,4,1
923,2,0
924,3,0
925,0,0
926,4,0
927,1,0
928,5,1
929,9,1
930,6,1
931,5,1
932,5,1
933,3,1
934,3,1
935,1,0
936,4,1
937,3,1
938,2,0
939,1,0
940,7,1
941,4,0
942,4,1
943,4,0
944,3,0
945,0,0
946,3,1
947,3,0
948,2,1
949,0,0
950,4,0
951,2,0
952,1,0
953,2,0
954,5,0
955,3,0
956,5,0
957,3,0
958,5,1
959,5,0
960,2,0
961,3,0
962,2,1
963,1,0
964,4,1
965,3,0
966,1,0
967,2,0
968,0,0
969,1,0
970,6,1
971,4,1
972,5,1
973,2,0
974,3,0
975,6,1
976,4,0
977,4,1
978,4,1
979,4,1
980,2,0
981,2,1
982,2,1
983,1,1
984,2,0
985,2,0
986,6,1
987,4,1
988,1,0
989,3,1
990,2,0
991,2,1
992,2,0
993,1,0
994,2,1
995,1,0
996,3,0
997,5,1
998,1,0
999,1,0
1000,1,0
1001,2,0
1002,4,1
1003,5,1
