date,brand,category,product,price,color,quantity
2026-01-04,NIKE,Shoes,DUNK,15400,Black/White,1
2026-01-05,HOKA,Shoes,Mafate,29700,Silver,3
2026-01-04,HOKA,Accessery,Other,9388,Grey,1
2026-01-20,HOKA,Apparel,Outer,19576,Black,2
2026-01-29,NIKE,Accessery,Other,14660,Black,1
2026-01-15,ON,Other,Other,3124,Black,3
2026-01-02,New Balance,Shoes,USA 990,39600,Black,2
2026-01-26,Asics,Other,Other,2452,White,1
2026-01-17,ON,Shoes,Cloudmonster,24200,Black/Red,1
2026-01-19,NIKE,Shoes,AIR MAX90,16500,Grey,2
2026-01-11,Adidas,Apparel,Other,7453,Blue,3
2026-01-24,NIKE,Shoes,Vomero,22330,Brown,2
2026-01-15,NIKE,Shoes,Air Jordan 1,16500,Black,1
2026-01-20,Adidas,Apparel,Other,17937,Black,1
2026-01-30,ON,Other,Other,994,White,3
2026-01-29,New Balance,Accessery,Socks,14627,White,1
2026-01-16,Asics,Shoes,Gel-Kayano,28600,Black,2
2026-01-18,Asics,Shoes,Metaspeed,29700,White,2
2026-01-29,ON,Other,Other,1629,Blue,2
2026-01-19,ON,Other,Other,2819,Grey,3
2026-01-01,ON,Apparel,Tops,8725,Red,1
2026-01-08,Adidas,Apparel,Bottoms,5940,Blue,2
2026-01-16,HOKA,Apparel,Tops,17394,Red,3
2026-01-25,NIKE,Accessery,Socks,4628,Black,2
2026-01-28,Asics,Apparel,Tops,8517,Grey,3
2026-01-11,Asics,Shoes,Gel-Nunobiki,15400,Grey,2
2026-01-05,New Balance,Accessery,Bags,10585,Grey,1
2026-01-04,ON,Other,Other,4701,Grey,2
2026-01-18,ON,Other,Other,2799,Red,3
2026-01-03,HOKA,Apparel,Bottoms,19484,Grey,1
2026-01-12,Adidas,Apparel,Bottoms,17857,Black,3
2026-01-17,New Balance,Shoes,1906L,22000,White,3
2026-01-24,NIKE,Other,Other,2996,Grey,1
2026-01-20,HOKA,Accessery,Caps,7039,Grey,1
2026-01-18,Adidas,Accessery,Other,6108,Grey,2
2026-01-02,ON,Accessery,Caps,12321,Red,2
2026-01-22,New Balance,Other,Other,3001,Grey,3
2026-01-06,NIKE,Accessery,Bags,10115,White,1
2026-01-28,Asics,Other,Other,672,Black,2
2026-01-07,New Balance,Apparel,Outer,13855,Red,2
2026-01-29,New Balance,Accessery,Other,11884,Red,2
2026-01-19,Adidas,Other,Other,1287,Blue,2
2026-01-08,ON,Other,Other,2249,Red,2
2026-01-13,Asics,Shoes,Gel-Nunobiki,15400,Grey,2
2026-01-18,Asics,Accessery,Other,4526,Red,3
2026-01-22,ON,Other,Other,3319,Black,1
2026-01-18,Asics,Apparel,Outer,11816,Blue,3
2026-01-17,ON,Shoes,Cloudmonster,24200,Black/Red,3
2026-01-14,HOKA,Shoes,Transport 2,22000,Black/White,2
2026-01-31,HOKA,Other,Other,4682,Red,2
2026-01-04,Adidas,Shoes,Gazelle,15400,Black,1
2026-01-02,NIKE,Shoes,Air Force1,16500,White,3
