user_id,item_id,sex,age,type,color
14,100,Kids,30s,sandal,blue
14,72,Women,40s,basket,gray
14,27,Women,30s,sandal,black
14,99,Women,30s,running,gray
14,55,Men,20s,golf,black
15,38,Men,20s,sandal,white
15,34,Men,30s,sandal,blue
15,42,Women,20s,running,white
15,3,Unknown,20s,basket,brown
15,13,Women,50s,golf,gray
16,36,Women,50s,golf,white
16,53,Women,20s,boot,other
16,77,Men,30s,sneaker,other
16,75,Women,60s+,running,blue
16,29,Men,50s,sneaker,other
17,53,Women,20s,boot,other
17,31,Kids,40s,basket,red
17,51,Men,30s,sneaker,red
17,1,Women,20s,golf,white
17,27,Women,30s,sandal,black
18,46,Women,10s,sneaker,other
18,51,Men,30s,sneaker,red
18,49,Men,40s,boot,other
18,64,Women,30s,basket,other
18,93,Men,20s,sneaker,brown
19,97,Kids,40s,running,blue
19,32,Men,20s,sneaker,gray
19,40,Women,40s,basket,gray
19,14,Women,20s,sandal,red
19,38,Men,20s,sandal,white
20,41,Unknown,30s,running,red
20,62,Men,20s,golf,brown
20,88,Men,20s,sneaker,blue
20,91,Unknown,20s,golf,black
20,6,Women,50s,basket,white
21,59,Kids,30s,basket,red
21,16,Men,10s,basket,black
21,64,Women,30s,basket,other
21,29,Men,50s,sneaker,other
21,73,Men,40s,golf,blue
22,1,Women,20s,golf,white
22,49,Men,40s,boot,other
22,63,Men,30s,golf,other
22,56,Women,20s,basket,brown
22,96,Men,20s,sneaker,black
23,63,Men,30s,golf,other
23,93,Men,20s,sneaker,brown
23,36,Women,50s,golf,white
23,3,Unknown,20s,basket,brown
23,55,Men,20s,golf,black
24,2,Men,20s,sandal,brown
24,51,Men,30s,sneaker,red
24,45,Men,20s,boot,other
24,57,Men,30s,basket,white
24,89,Men,10s,running,gray
25,50,Women,10s,golf,gray
25,56,Women,20s,basket,brown
25,55,Men,20s,golf,black
25,29,Men,50s,sneaker,other
25,78,Unknown,30s,golf,red
26,17,Women,30s,golf,black
26,99,Women,30s,running,gray
26,43,Women,30s,golf,white
26,79,Women,50s,sneaker,black
26,4,Kids,30s,boot,white
27,8,Men,30s,sneaker,red
27,59,Kids,30s,basket,red
27,65,Women,50s,boot,blue
27,51,Men,30s,sneaker,red
27,31,Kids,40s,basket,red
28,99,Women,30s,running,gray
28,53,Women,20s,boot,other
28,38,Men,20s,sandal,white
28,67,Men,20s,sandal,brown
28,72,Women,40s,basket,gray
29,83,Women,20s,sandal,white
29,49,Men,40s,boot,other
29,70,Kids,60s+,boot,gray
29,100,Kids,30s,sandal,blue
29,74,Unknown,30s,running,black
30,73,Men,40s,golf,blue
30,52,Men,40s,boot,other
30,16,Men,10s,basket,black
30,32,Men,20s,sneaker,gray
30,62,Men,20s,golf,brown
31,80,Women,50s,sneaker,brown
31,31,Kids,40s,basket,red
31,23,Women,40s,running,other
31,58,Women,30s,boot,gray
31,32,Men,20s,sneaker,gray
32,50,Women,10s,golf,gray
32,13,Women,50s,golf,gray
32,61,Women,20s,basket,blue
32,11,Unknown,50s,sandal,white
32,57,Men,30s,basket,white
33,16,Men,10s,basket,black
33,43,Women,30s,golf,white
33,29,Men,50s,sneaker,other
33,84,Men,30s,golf,brown
33,80,Women,50s,sneaker,brown
34,57,Men,30s,basket,white
34,43,Women,30s,golf,white
34,79,Women,50s,sneaker,black
34,9,Men,10s,sneaker,blue
34,27,Women,30s,sandal,black
35,23,Women,40s,running,other
35,65,Women,50s,boot,blue
35,67,Men,20s,sandal,brown
35,55,Men,20s,golf,black
35,83,Women,20s,sandal,white
36,16,Men,10s,basket,black
36,60,Women,40s,basket,other
36,57,Men,30s,basket,white
36,94,Women,50s,running,blue
36,45,Men,20s,boot,other
37,54,Unknown,20s,basket,other
37,26,Women,40s,sneaker,brown
37,76,Unknown,20s,basket,white
37,71,Women,30s,basket,gray
37,28,Women,20s,boot,blue
38,9,Men,10s,sneaker,blue
38,52,Men,40s,boot,other
38,3,Unknown,20s,basket,brown
38,37,Women,20s,basket,brown
38,55,Men,20s,golf,black
39,21,Women,40s,sandal,blue
39,5,Kids,20s,sandal,brown
39,19,Women,30s,running,brown
39,71,Women,30s,basket,gray
39,7,Women,30s,basket,white
40,28,Women,20s,boot,blue
40,66,Men,20s,basket,black
40,80,Women,50s,sneaker,brown
40,58,Women,30s,boot,gray
40,36,Women,50s,golf,white
41,66,Men,20s,basket,black
41,41,Unknown,30s,running,red
41,86,Men,50s,basket,white
41,68,Men,30s,basket,blue
41,76,Unknown,20s,basket,white
42,35,Kids,20s,golf,gray
42,37,Women,20s,basket,brown
42,92,Women,20s,golf,other
42,29,Men,50s,sneaker,other
42,86,Men,50s,basket,white
43,76,Unknown,20s,basket,white
43,31,Kids,40s,basket,red
43,66,Men,20s,basket,black
43,10,Women,50s,boot,red
43,25,Women,30s,golf,black
44,28,Women,20s,boot,blue
44,2,Men,20s,sandal,brown
44,62,Men,20s,golf,brown
44,71,Women,30s,basket,gray
44,20,Women,20s,sandal,brown
45,20,Women,20s,sandal,brown
45,27,Women,30s,sandal,black
45,38,Men,20s,sandal,white
45,79,Women,50s,sneaker,black
45,41,Unknown,30s,running,red
46,48,Men,50s,boot,white
46,77,Men,30s,sneaker,other
46,94,Women,50s,running,blue
46,58,Women,30s,boot,gray
46,99,Women,30s,running,gray
47,100,Kids,30s,sandal,blue
47,64,Women,30s,basket,other
47,75,Women,60s+,running,blue
47,11,Unknown,50s,sandal,white
47,48,Men,50s,boot,white
48,43,Women,30s,golf,white
48,34,Men,30s,sandal,blue
48,54,Unknown,20s,basket,other
48,66,Men,20s,basket,black
48,89,Men,10s,running,gray
49,100,Kids,30s,sandal,blue
49,97,Kids,40s,running,blue
49,39,Men,30s,running,red
49,75,Women,60s+,running,blue
49,3,Unknown,20s,basket,brown
50,97,Kids,40s,running,blue
50,57,Men,30s,basket,white
50,93,Men,20s,sneaker,brown
50,99,Women,30s,running,gray
50,7,Women,30s,basket,white
51,6,Women,50s,basket,white
51,26,Women,40s,sneaker,brown
51,72,Women,40s,basket,gray
51,80,Women,50s,sneaker,brown
51,21,Women,40s,sandal,blue
52,65,Women,50s,boot,blue
52,4,Kids,30s,boot,white
52,81,Women,60s+,sandal,black
52,29,Men,50s,sneaker,other
52,51,Men,30s,sneaker,red
53,66,Men,20s,basket,black
53,42,Women,20s,running,white
53,44,Men,30s,running,red
53,79,Women,50s,sneaker,black
53,88,Men,20s,sneaker,blue
54,29,Men,50s,sneaker,other
54,45,Men,20s,boot,other
54,94,Women,50s,running,blue
54,93,Men,20s,sneaker,brown
54,98,Kids,40s,boot,red
55,47,Men,20s,basket,other
55,76,Unknown,20s,basket,white
55,73,Men,40s,golf,blue
55,1,Women,20s,golf,white
55,22,Women,30s,sandal,black
56,93,Men,20s,sneaker,brown
56,78,Unknown,30s,golf,red
56,73,Men,40s,golf,blue
56,17,Women,30s,golf,black
56,77,Men,30s,sneaker,other
57,10,Women,50s,boot,red
57,1,Women,20s,golf,white
57,87,Kids,40s,boot,other
57,72,Women,40s,basket,gray
57,46,Women,10s,sneaker,other
58,71,Women,30s,basket,gray
58,81,Women,60s+,sandal,black
58,15,Men,40s,golf,white
58,73,Men,40s,golf,blue
58,1,Women,20s,golf,white
59,8,Men,30s,sneaker,red
59,51,Men,30s,sneaker,red
59,52,Men,40s,boot,other
59,73,Men,40s,golf,blue
59,92,Women,20s,golf,other
60,60,Women,40s,basket,other
60,95,Men,20s,sandal,black
60,4,Kids,30s,boot,white
60,37,Women,20s,basket,brown
60,6,Women,50s,basket,white
61,24,Women,30s,boot,blue
61,7,Women,30s,basket,white
61,81,Women,60s+,sandal,black
61,22,Women,30s,sandal,black
61,100,Kids,30s,sandal,blue
62,12,Kids,40s,running,white
62,48,Men,50s,boot,white
62,60,Women,40s,basket,other
62,44,Men,30s,running,red
62,69,Men,20s,sneaker,white
63,2,Men,20s,sandal,brown
63,61,Women,20s,basket,blue
63,98,Kids,40s,boot,red
63,34,Men,30s,sandal,blue
63,84,Men,30s,golf,brown
64,6,Women,50s,basket,white
64,74,Unknown,30s,running,black
64,53,Women,20s,boot,other
64,21,Women,40s,sandal,blue
64,71,Women,30s,basket,gray
65,65,Women,50s,boot,blue
65,94,Women,50s,running,blue
65,32,Men,20s,sneaker,gray
65,62,Men,20s,golf,brown
65,37,Women,20s,basket,brown
66,42,Women,20s,running,white
66,10,Women,50s,boot,red
66,72,Women,40s,basket,gray
66,38,Men,20s,sandal,white
66,57,Men,30s,basket,white
67,70,Kids,60s+,boot,gray
67,2,Men,20s,sandal,brown
67,17,Women,30s,golf,black
67,32,Men,20s,sneaker,gray
67,44,Men,30s,running,red
68,34,Men,30s,sandal,blue
68,1,Women,20s,golf,white
68,81,Women,60s+,sandal,black
68,62,Men,20s,golf,brown
68,2,Men,20s,sandal,brown
69,30,Men,50s,basket,gray
69,36,Women,50s,golf,white
69,12,Kids,40s,running,white
69,46,Women,10s,sneaker,other
69,61,Women,20s,basket,blue
70,8,Men,30s,sneaker,red
70,74,Unknown,30s,running,black
70,22,Women,30s,sandal,black
70,36,Women,50s,golf,white
70,37,Women,20s,basket,brown
71,84,Men,30s,golf,brown
71,18,Men,10s,sandal,gray
71,11,Unknown,50s,sandal,white
71,91,Unknown,20s,golf,black
71,46,Women,10s,sneaker,other
72,5,Kids,20s,sandal,brown
72,25,Women,30s,golf,black
72,23,Women,40s,running,other
72,3,Unknown,20s,basket,brown
72,70,Kids,60s+,boot,gray
73,33,Men,50s,boot,white
73,14,Women,20s,sandal,red
73,4,Kids,30s,boot,white
73,13,Women,50s,golf,gray
73,31,Kids,40s,basket,red
74,42,Women,20s,running,white
74,52,Men,40s,boot,other
74,75,Women,60s+,running,blue
74,26,Women,40s,sneaker,brown
74,19,Women,30s,running,brown
75,52,Men,40s,boot,other
75,95,Men,20s,sandal,black
75,96,Men,20s,sneaker,black
75,13,Women,50s,golf,gray
75,16,Men,10s,basket,black
76,67,Men,20s,sandal,brown
76,79,Women,50s,sneaker,black
76,95,Men,20s,sandal,black
76,37,Women,20s,basket,brown
76,35,Kids,20s,golf,gray
77,55,Men,20s,golf,black
77,42,Women,20s,running,white
77,22,Women,30s,sandal,black
77,72,Women,40s,basket,gray
77,60,Women,40s,basket,other
78,49,Men,40s,boot,other
78,89,Men,10s,running,gray
78,25,Women,30s,golf,black
78,65,Women,50s,boot,blue
78,22,Women,30s,sandal,black
79,60,Women,40s,basket,other
79,61,Women,20s,basket,blue
79,72,Women,40s,basket,gray
79,86,Men,50s,basket,white
79,25,Women,30s,golf,black
80,98,Kids,40s,boot,red
80,53,Women,20s,boot,other
80,78,Unknown,30s,golf,red
80,5,Kids,20s,sandal,brown
80,77,Men,30s,sneaker,other
81,97,Kids,40s,running,blue
81,71,Women,30s,basket,gray
81,74,Unknown,30s,running,black
81,94,Women,50s,running,blue
81,99,Women,30s,running,gray
82,89,Men,10s,running,gray
82,36,Women,50s,golf,white
82,99,Women,30s,running,gray
82,76,Unknown,20s,basket,white
82,80,Women,50s,sneaker,brown
83,80,Women,50s,sneaker,brown
83,20,Women,20s,sandal,brown
83,7,Women,30s,basket,white
83,78,Unknown,30s,golf,red
83,82,Men,20s,boot,red
84,20,Women,20s,sandal,brown
84,4,Kids,30s,boot,white
84,32,Men,20s,sneaker,gray
84,47,Men,20s,basket,other
84,30,Men,50s,basket,gray
85,54,Unknown,20s,basket,other
85,11,Unknown,50s,sandal,white
85,19,Women,30s,running,brown
85,67,Men,20s,sandal,brown
85,76,Unknown,20s,basket,white
86,16,Men,10s,basket,black
86,33,Men,50s,boot,white
86,81,Women,60s+,sandal,black
86,93,Men,20s,sneaker,brown
86,56,Women,20s,basket,brown
87,57,Men,30s,basket,white
87,24,Women,30s,boot,blue
87,83,Women,20s,sandal,white
87,54,Unknown,20s,basket,other
87,13,Women,50s,golf,gray
88,53,Women,20s,boot,other
88,4,Kids,30s,boot,white
88,33,Men,50s,boot,white
88,16,Men,10s,basket,black
88,99,Women,30s,running,gray
89,79,Women,50s,sneaker,black
89,78,Unknown,30s,golf,red
89,82,Men,20s,boot,red
89,6,Women,50s,basket,white
89,69,Men,20s,sneaker,white
90,13,Women,50s,golf,gray
90,49,Men,40s,boot,other
90,91,Unknown,20s,golf,black
90,10,Women,50s,boot,red
90,80,Women,50s,sneaker,brown
91,34,Men,30s,sandal,blue
91,91,Unknown,20s,golf,black
91,58,Women,30s,boot,gray
91,80,Women,50s,sneaker,brown
91,10,Women,50s,boot,red
92,89,Men,10s,running,gray
92,53,Women,20s,boot,other
92,51,Men,30s,sneaker,red
92,100,Kids,30s,sandal,blue
92,50,Women,10s,golf,gray
93,84,Men,30s,golf,brown
93,76,Unknown,20s,basket,white
93,86,Men,50s,basket,white
93,97,Kids,40s,running,blue
93,26,Women,40s,sneaker,brown
94,61,Women,20s,basket,blue
94,53,Women,20s,boot,other
94,98,Kids,40s,boot,red
94,11,Unknown,50s,sandal,white
94,78,Unknown,30s,golf,red
95,49,Men,40s,boot,other
95,90,Women,50s,basket,white
95,81,Women,60s+,sandal,black
95,66,Men,20s,basket,black
95,12,Kids,40s,running,white
96,97,Kids,40s,running,blue
96,81,Women,60s+,sandal,black
96,48,Men,50s,boot,white
96,65,Women,50s,boot,blue
96,42,Women,20s,running,white
97,37,Women,20s,basket,brown
97,3,Unknown,20s,basket,brown
97,43,Women,30s,golf,white
97,27,Women,30s,sandal,black
97,12,Kids,40s,running,white
98,79,Women,50s,sneaker,black
98,65,Women,50s,boot,blue
98,40,Women,40s,basket,gray
98,3,Unknown,20s,basket,brown
98,91,Unknown,20s,golf,black
99,62,Men,20s,golf,brown
99,98,Kids,40s,boot,red
99,18,Men,10s,sandal,gray
99,90,Women,50s,basket,white
99,64,Women,30s,basket,other
100,97,Kids,40s,running,blue
100,87,Kids,40s,boot,other
100,80,Women,50s,sneaker,brown
100,62,Men,20s,golf,brown
100,25,Women,30s,golf,black
101,7,Women,30s,basket,white
101,90,Women,50s,basket,white
101,34,Men,30s,sandal,blue
101,95,Men,20s,sandal,black
101,87,Kids,40s,boot,other
102,94,Women,50s,running,blue
102,14,Women,20s,sandal,red
102,63,Men,30s,golf,other
102,38,Men,20s,sandal,white
102,84,Men,30s,golf,brown
103,86,Men,50s,basket,white
103,92,Women,20s,golf,other
103,33,Men,50s,boot,white
103,71,Women,30s,basket,gray
103,83,Women,20s,sandal,white
104,71,Women,30s,basket,gray
104,49,Men,40s,boot,other
104,24,Women,30s,boot,blue
104,26,Women,40s,sneaker,brown
104,59,Kids,30s,basket,red
105,66,Men,20s,basket,black
105,5,Kids,20s,sandal,brown
105,88,Men,20s,sneaker,blue
105,39,Men,30s,running,red
105,18,Men,10s,sandal,gray
106,95,Men,20s,sandal,black
106,37,Women,20s,basket,brown
106,32,Men,20s,sneaker,gray
106,63,Men,30s,golf,other
106,17,Women,30s,golf,black
107,68,Men,30s,basket,blue
107,57,Men,30s,basket,white
107,30,Men,50s,basket,gray
107,7,Women,30s,basket,white
107,22,Women,30s,sandal,black
108,4,Kids,30s,boot,white
108,18,Men,10s,sandal,gray
108,33,Men,50s,boot,white
108,64,Women,30s,basket,other
108,37,Women,20s,basket,brown
109,7,Women,30s,basket,white
109,62,Men,20s,golf,brown
109,72,Women,40s,basket,gray
109,33,Men,50s,boot,white
109,94,Women,50s,running,blue
110,80,Women,50s,sneaker,brown
110,37,Women,20s,basket,brown
110,54,Unknown,20s,basket,other
110,21,Women,40s,sandal,blue
110,17,Women,30s,golf,black
111,47,Men,20s,basket,other
111,13,Women,50s,golf,gray
111,64,Women,30s,basket,other
111,12,Kids,40s,running,white
111,63,Men,30s,golf,other
112,95,Men,20s,sandal,black
112,89,Men,10s,running,gray
112,45,Men,20s,boot,other
112,13,Women,50s,golf,gray
112,36,Women,50s,golf,white
113,20,Women,20s,sandal,brown
113,4,Kids,30s,boot,white
113,22,Women,30s,sandal,black
113,19,Women,30s,running,brown
113,15,Men,40s,golf,white
114,91,Unknown,20s,golf,black
114,44,Men,30s,running,red
114,1,Women,20s,golf,white
114,11,Unknown,50s,sandal,white
114,22,Women,30s,sandal,black
115,96,Men,20s,sneaker,black
115,53,Women,20s,boot,other
115,55,Men,20s,golf,black
115,2,Men,20s,sandal,brown
115,32,Men,20s,sneaker,gray
116,17,Women,30s,golf,black
116,72,Women,40s,basket,gray
116,50,Women,10s,golf,gray
116,55,Men,20s,golf,black
116,79,Women,50s,sneaker,black
117,41,Unknown,30s,running,red
117,95,Men,20s,sandal,black
117,50,Women,10s,golf,gray
117,15,Men,40s,golf,white
117,36,Women,50s,golf,white
118,79,Women,50s,sneaker,black
118,83,Women,20s,sandal,white
118,64,Women,30s,basket,other
118,2,Men,20s,sandal,brown
118,39,Men,30s,running,red
119,7,Women,30s,basket,white
119,87,Kids,40s,boot,other
119,36,Women,50s,golf,white
119,75,Women,60s+,running,blue
119,83,Women,20s,sandal,white
120,39,Men,30s,running,red
120,68,Men,30s,basket,blue
120,69,Men,20s,sneaker,white
120,98,Kids,40s,boot,red
120,59,Kids,30s,basket,red
121,57,Men,30s,basket,white
121,68,Men,30s,basket,blue
121,24,Women,30s,boot,blue
121,91,Unknown,20s,golf,black
121,4,Kids,30s,boot,white
122,99,Women,30s,running,gray
122,3,Unknown,20s,basket,brown
122,64,Women,30s,basket,other
122,22,Women,30s,sandal,black
122,96,Men,20s,sneaker,black
123,30,Men,50s,basket,gray
123,2,Men,20s,sandal,brown
123,25,Women,30s,golf,black
123,8,Men,30s,sneaker,red
123,42,Women,20s,running,white
124,93,Men,20s,sneaker,brown
124,56,Women,20s,basket,brown
124,100,Kids,30s,sandal,blue
124,4,Kids,30s,boot,white
124,28,Women,20s,boot,blue
125,65,Women,50s,boot,blue
125,95,Men,20s,sandal,black
125,33,Men,50s,boot,white
125,90,Women,50s,basket,white
125,60,Women,40s,basket,other
126,97,Kids,40s,running,blue
126,15,Men,40s,golf,white
126,22,Women,30s,sandal,black
126,16,Men,10s,basket,black
126,4,Kids,30s,boot,white
127,17,Women,30s,golf,black
127,23,Women,40s,running,other
127,60,Women,40s,basket,other
127,49,Men,40s,boot,other
127,97,Kids,40s,running,blue
128,39,Men,30s,running,red
128,58,Women,30s,boot,gray
128,17,Women,30s,golf,black
128,99,Women,30s,running,gray
128,4,Kids,30s,boot,white
129,78,Unknown,30s,golf,red
129,79,Women,50s,sneaker,black
129,44,Men,30s,running,red
129,62,Men,20s,golf,brown
129,11,Unknown,50s,sandal,white
130,36,Women,50s,golf,white
130,23,Women,40s,running,other
130,85,Women,50s,basket,blue
130,90,Women,50s,basket,white
130,51,Men,30s,sneaker,red
131,25,Women,30s,golf,black
131,60,Women,40s,basket,other
131,26,Women,40s,sneaker,brown
131,97,Kids,40s,running,blue
131,68,Men,30s,basket,blue
132,25,Women,30s,golf,black
132,66,Men,20s,basket,black
132,89,Men,10s,running,gray
132,24,Women,30s,boot,blue
132,8,Men,30s,sneaker,red
133,79,Women,50s,sneaker,black
133,8,Men,30s,sneaker,red
133,47,Men,20s,basket,other
133,37,Women,20s,basket,brown
133,43,Women,30s,golf,white
134,32,Men,20s,sneaker,gray
134,55,Men,20s,golf,black
134,17,Women,30s,golf,black
134,61,Women,20s,basket,blue
134,46,Women,10s,sneaker,other
135,28,Women,20s,boot,blue
135,11,Unknown,50s,sandal,white
135,22,Women,30s,sandal,black
135,66,Men,20s,basket,black
135,85,Women,50s,basket,blue
136,82,Men,20s,boot,red
136,85,Women,50s,basket,blue
136,98,Kids,40s,boot,red
136,30,Men,50s,basket,gray
136,29,Men,50s,sneaker,other
137,15,Men,40s,golf,white
137,4,Kids,30s,boot,white
137,76,Unknown,20s,basket,white
137,83,Women,20s,sandal,white
137,96,Men,20s,sneaker,black
138,50,Women,10s,golf,gray
138,36,Women,50s,golf,white
138,100,Kids,30s,sandal,blue
138,78,Unknown,30s,golf,red
138,61,Women,20s,basket,blue
139,1,Women,20s,golf,white
139,90,Women,50s,basket,white
139,48,Men,50s,boot,white
139,32,Men,20s,sneaker,gray
139,92,Women,20s,golf,other
140,29,Men,50s,sneaker,other
140,71,Women,30s,basket,gray
140,99,Women,30s,running,gray
140,62,Men,20s,golf,brown
140,28,Women,20s,boot,blue
141,28,Women,20s,boot,blue
141,63,Men,30s,golf,other
141,73,Men,40s,golf,blue
141,35,Kids,20s,golf,gray
141,9,Men,10s,sneaker,blue
142,87,Kids,40s,boot,other
142,41,Unknown,30s,running,red
142,65,Women,50s,boot,blue
142,40,Women,40s,basket,gray
142,37,Women,20s,basket,brown
143,51,Men,30s,sneaker,red
143,39,Men,30s,running,red
143,19,Women,30s,running,brown
143,15,Men,40s,golf,white
143,100,Kids,30s,sandal,blue
144,9,Men,10s,sneaker,blue
144,84,Men,30s,golf,brown
144,65,Women,50s,boot,blue
144,93,Men,20s,sneaker,brown
144,18,Men,10s,sandal,gray
145,10,Women,50s,boot,red
145,35,Kids,20s,golf,gray
145,5,Kids,20s,sandal,brown
145,36,Women,50s,golf,white
145,80,Women,50s,sneaker,brown
146,65,Women,50s,boot,blue
146,61,Women,20s,basket,blue
146,30,Men,50s,basket,gray
146,74,Unknown,30s,running,black
146,13,Women,50s,golf,gray
147,75,Women,60s+,running,blue
147,54,Unknown,20s,basket,other
147,13,Women,50s,golf,gray
147,61,Women,20s,basket,blue
147,25,Women,30s,golf,black
148,42,Women,20s,running,white
148,59,Kids,30s,basket,red
148,39,Men,30s,running,red
148,14,Women,20s,sandal,red
148,74,Unknown,30s,running,black
149,47,Men,20s,basket,other
149,64,Women,30s,basket,other
149,92,Women,20s,golf,other
149,3,Unknown,20s,basket,brown
149,99,Women,30s,running,gray
150,37,Women,20s,basket,brown
150,11,Unknown,50s,sandal,white
150,76,Unknown,20s,basket,white
150,60,Women,40s,basket,other
150,49,Men,40s,boot,other
151,83,Women,20s,sandal,white
151,82,Men,20s,boot,red
151,96,Men,20s,sneaker,black
151,50,Women,10s,golf,gray
151,61,Women,20s,basket,blue
152,11,Unknown,50s,sandal,white
152,26,Women,40s,sneaker,brown
152,98,Kids,40s,boot,red
152,14,Women,20s,sandal,red
152,9,Men,10s,sneaker,blue
153,31,Kids,40s,basket,red
153,84,Men,30s,golf,brown
153,46,Women,10s,sneaker,other
153,57,Men,30s,basket,white
153,91,Unknown,20s,golf,black
154,71,Women,30s,basket,gray
154,14,Women,20s,sandal,red
154,53,Women,20s,boot,other
154,66,Men,20s,basket,black
154,73,Men,40s,golf,blue
155,53,Women,20s,boot,other
155,16,Men,10s,basket,black
155,42,Women,20s,running,white
155,96,Men,20s,sneaker,black
155,26,Women,40s,sneaker,brown
156,20,Women,20s,sandal,brown
156,38,Men,20s,sandal,white
156,31,Kids,40s,basket,red
156,80,Women,50s,sneaker,brown
156,77,Men,30s,sneaker,other
157,59,Kids,30s,basket,red
157,16,Men,10s,basket,black
157,92,Women,20s,golf,other
157,61,Women,20s,basket,blue
157,4,Kids,30s,boot,white
158,95,Men,20s,sandal,black
158,16,Men,10s,basket,black
158,5,Kids,20s,sandal,brown
158,54,Unknown,20s,basket,other
158,91,Unknown,20s,golf,black
159,69,Men,20s,sneaker,white
159,24,Women,30s,boot,blue
159,78,Unknown,30s,golf,red
159,77,Men,30s,sneaker,other
159,59,Kids,30s,basket,red
160,6,Women,50s,basket,white
160,87,Kids,40s,boot,other
160,75,Women,60s+,running,blue
160,57,Men,30s,basket,white
160,26,Women,40s,sneaker,brown
161,44,Men,30s,running,red
161,57,Men,30s,basket,white
161,2,Men,20s,sandal,brown
161,32,Men,20s,sneaker,gray
161,98,Kids,40s,boot,red
162,56,Women,20s,basket,brown
162,47,Men,20s,basket,other
162,69,Men,20s,sneaker,white
162,83,Women,20s,sandal,white
162,81,Women,60s+,sandal,black
163,80,Women,50s,sneaker,brown
163,7,Women,30s,basket,white
163,88,Men,20s,sneaker,blue
163,37,Women,20s,basket,brown
163,64,Women,30s,basket,other
164,58,Women,30s,boot,gray
164,56,Women,20s,basket,brown
164,80,Women,50s,sneaker,brown
164,75,Women,60s+,running,blue
164,57,Men,30s,basket,white
165,83,Women,20s,sandal,white
165,35,Kids,20s,golf,gray
165,16,Men,10s,basket,black
165,37,Women,20s,basket,brown
165,6,Women,50s,basket,white
166,15,Men,40s,golf,white
166,4,Kids,30s,boot,white
166,72,Women,40s,basket,gray
166,94,Women,50s,running,blue
166,29,Men,50s,sneaker,other
167,50,Women,10s,golf,gray
167,11,Unknown,50s,sandal,white
167,72,Women,40s,basket,gray
167,46,Women,10s,sneaker,other
167,94,Women,50s,running,blue
168,70,Kids,60s+,boot,gray
168,82,Men,20s,boot,red
168,58,Women,30s,boot,gray
168,94,Women,50s,running,blue
168,72,Women,40s,basket,gray
169,34,Men,30s,sandal,blue
169,56,Women,20s,basket,brown
169,2,Men,20s,sandal,brown
169,23,Women,40s,running,other
169,40,Women,40s,basket,gray
170,94,Women,50s,running,blue
170,8,Men,30s,sneaker,red
170,25,Women,30s,golf,black
170,88,Men,20s,sneaker,blue
170,78,Unknown,30s,golf,red
171,9,Men,10s,sneaker,blue
171,96,Men,20s,sneaker,black
171,5,Kids,20s,sandal,brown
171,56,Women,20s,basket,brown
171,44,Men,30s,running,red
172,92,Women,20s,golf,other
172,93,Men,20s,sneaker,brown
172,12,Kids,40s,running,white
172,8,Men,30s,sneaker,red
172,22,Women,30s,sandal,black
173,41,Unknown,30s,running,red
173,47,Men,20s,basket,other
173,45,Men,20s,boot,other
173,79,Women,50s,sneaker,black
173,36,Women,50s,golf,white
174,15,Men,40s,golf,white
174,30,Men,50s,basket,gray
174,64,Women,30s,basket,other
174,28,Women,20s,boot,blue
174,74,Unknown,30s,running,black
